Name	Category	Effect
Ability Capsule icon Ability Capsule	Hold items	A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
Ability Patch icon Ability Patch	General items	Changes a Pokémon's ability to its Hidden Ability.
Ability Shield icon Ability Shield		An item to be held by a Pokémon. This cute and rather unique-looking shield protects the holder from having its Ability changed by others.
Ability Urge icon Ability Urge	Battle items	When used, it activates the Ability of an ally Pokémon.
Abomasite icon Abomasite	Hold items	Enables Abomasnow to Mega Evolve during battle.
Absolite icon Absolite	Hold items	Enables Absol to Mega Evolve during battle.
Absorb Bulb icon Absorb Bulb	Hold items	A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.
Academy Ball icon Academy Ball		The academy’s standard-issue ball in a regulation size. Lots of students believe that if you kick it right on the academy emblem, it’ll fly in a straight line.
Academy Bottle icon Academy Bottle		A bottle emblazoned with the academy’s emblem. It’s light, sturdy, and vacuum insulated, so it’ll keep your hots hot and your colds cold.
Academy Cup icon Academy Cup		The academy’s standard-issue cup for picnicking. The careful design of its mouth makes it popular both inside and outside the academy.
Academy Tablecloth icon Academy Tablecloth		The academy’s standard-issue tablecloth. It’s made with the latest fiber-processing technology and is so tough that not even a Razor Claw can tear it.
Adamant Crystal icon Adamant Crystal	Hold items
Adamant Mint icon Adamant Mint	Battle items	Changes the Pokémon's stats to match the Adamant nature.
Adamant Orb icon Adamant Orb	Hold items	Increases the power of Dragon- and Steel-type moves when held by Dialga.
Adrenaline Orb icon Adrenaline Orb	Hold items	Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once.
Aerodactylite icon Aerodactylite	Hold items	Enables Aerodactyl to Mega Evolve during battle.
Aggronite icon Aggronite	Hold items	Enables Aggron to Mega Evolve during battle.
Aguav Berry icon Aguav Berry	Berries	Restores HP if it's low, but may cause confusion.
Air Balloon icon Air Balloon	Hold items	When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.
Alakazite icon Alakazite	Hold items	Enables Alakazam to Mega Evolve during battle.
Alomomola Mucus icon Alomomola Mucus	General items	Material obtained after defeating/catching Alomomola, used in TM crafting.
Aloraichium Z icon Aloraichium Z	Hold items	Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer.
Altarianite icon Altarianite	Hold items	Enables Altaria to Mega Evolve during battle.
Ampharosite icon Ampharosite	Hold items	Enables Ampharos to Mega Evolve during battle.
Amulet Coin icon Amulet Coin	Hold items	Doubles prize money if held.
Antidote icon Antidote	Medicine	Cures a Pokémon of poisoning.
Apicot Berry icon Apicot Berry	Berries	Raises Special Defense when HP is low.
Apple icon Apple		This very sweet ingredient is sliced thin to make it easy to add into a sandwich.
Applin Juice icon Applin Juice	General items	Material obtained after defeating/catching Applin, used in TM crafting.
Apricorn icon Apricorn	General items	A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch.
Armor Fossil icon Armor Fossil	General items	A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
Armorite Ore icon Armorite Ore	General items
Arrokuda Scales icon Arrokuda Scales	General items	Material obtained after defeating/catching Arrokuda, used in TM crafting.
Aspear Berry icon Aspear Berry	Berries	If held by a Pokémon, it defrosts it.
Assault Vest icon Assault Vest	Hold items	Raises Special Defense but prevents the use of status moves.
Audinite icon Audinite	Hold items	Enables Audino to Mega Evolve during battle.
Auspicious Armor icon Auspicious Armor	General items	Evolves Charcadet into Armarouge.
Aux Evasion icon Aux Evasion	Battle items	Makes moves less likely to strike a Pokémon during a battle.
Aux Guard icon Aux Guard	Battle items	Sharply boosts the defensive stats of a Pokémon during a battle.
Aux Power icon Aux Power	Battle items	Sharply boosts the offensive stats of a Pokémon during a battle.
Aux Powerguard icon Aux Powerguard	Battle items	Sharply boosts the offensive and defensive stats of a Pokémon during a battle.
Avocado icon Avocado		An ingredient with sweet notes—though its flavor is very mild. The avocado’s richness, however, makes it satisfying to eat.
Awakening icon Awakening	Medicine	Wakes up a sleeping Pokémon.
Axew Scales icon Axew Scales	General items	Material obtained after defeating/catching Axew, used in TM crafting.
Azurill Fur icon Azurill Fur	General items	Material obtained after defeating/catching Azurill, used in TM crafting.
B&W Grass Tablecloth icon B&W Grass Tablecloth		A tablecloth with a fun, trendy black-and-white design featuring Pokémon that seem poised to leap from the tall grass at any moment.
Babiri Berry icon Babiri Berry	Berries	Weakens a supereffective Steel-type attack against the holding Pokémon.
Bach's Food Tin icon Bach's Food Tin	General items	One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.
Bacon icon Bacon		This very salty ingredient has been cooked just shy of charred, making it burst with fragrance and tasty flavor.
Bagon Scales icon Bagon Scales	General items	Material obtained after defeating/catching Bagon, used in TM crafting.
Baguette icon Baguette		A long loaf sliced into top and bottom halves. Its aroma of wheat and its straightforward, salty flavor make it pair well with all kinds of sandwich ingredients.
Ball of Mud icon Ball of Mud	General items
Balm Mushroom icon Balm Mushroom	General items	A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.
Banana icon Banana		A very sweet ingredient. This go-to fruit is sweet and rich, and it’s beloved by many Pokémon.
Banettite icon Banettite	Hold items	Enables Banette to Mega Evolve during battle.
Barboach Slime icon Barboach Slime	General items	Material obtained after defeating/catching Barboach, used in TM crafting.
Barred Cup icon Barred Cup		A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around.
Basculin Fang icon Basculin Fang	General items	Material obtained after defeating/catching Basculin, used in TM crafting.
Basil icon Basil		A very bitter ingredient that’s quite versatile, as herbs go. It’s fragrant and goes well with tomatoes.
Battle Tablecloth icon Battle Tablecloth		A garish, eye-catching tablecloth. Putting this on your picnic table will inspire any person or Pokémon who eats there to do their best.
Beach Glass icon Beach Glass	General items	A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.
Bean Cake icon Bean Cake	General items
Beast Ball icon Beast Ball	Pokeballs	A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
Beedrillite icon Beedrillite	Hold items	Enables Beedrill to Mega Evolve during battle.
Belue Berry icon Belue Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Bergmite Ice icon Bergmite Ice	General items	Material obtained after defeating/catching Bergmite, used in TM crafting.
Berry Juice icon Berry Juice	Medicine	Restores 20 HP.
Berry Sweet icon Berry Sweet	Hold items	Evolves Milcery into Blueberry Flavor Alcremie.
Big Bamboo Shoot icon Big Bamboo Shoot		A large and rare bamboo shoot. It’s extremely popular with a certain class of gourmands.
Big Malasada icon Big Malasada	Medicine	Heals all major status conditions.
Big Mushroom icon Big Mushroom	General items	A large and rare mushroom. It is sought after by collectors.
Big Nugget icon Big Nugget	General items	A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.
Big Pearl icon Big Pearl	General items	A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
Big Root icon Big Root	Hold items	Recovers more HP from HP-stealing moves.
Binding Band icon Binding Band	Hold items	A band that increases the power of binding moves when held.
